PNGQ_FAST;8,1;1165,3;1165,3
PNGQ_BEST;14,2;666,0;666,0
PNG_FAST;4,9;1946,2;1946,2
PNG_BEST;17,6;537,0;537,0
JPEG_BEST_NOOPT;4,2;2260,5;2260,5
JPEG_BEST_OPTIM;5,2;1822,3;1822,3
JPEG_BEST_ARITH;8,3;1139,4;1139,4
JPEG_BEST_NOOPT_YCBCR;3,8;2507,6;2507,6
JPEG_BEST_OPTIM_YCBCR;3,7;2582,6;2582,6
JPEG_BEST_ARITH_YCBCR;5,0;1889,8;1889,8
JPEG_95_NOOPT;4,1;2283,1;2283,1
JPEG_95_OPTIM;5,7;1661,9;1661,9
JPEG_95_ARITH;7,1;1325,2;1325,2
JPEG_95_NOOPT_YCBCR;3,3;2876,0;2876,0
JPEG_95_OPTIM_YCBCR;3,8;2501,4;2501,4
JPEG_95_ARITH_YCBCR;4,4;2149,8;2149,8
JPEG_90_NOOPT;3,8;2483,9;2483,9
JPEG_90_OPTIM;5,2;1833,6;1833,6
JPEG_90_ARITH;6,6;1433,0;1433,0
JPEG_90_NOOPT_YCBCR;3,1;3007,2;3007,2
JPEG_90_OPTIM_YCBCR;3,7;2557,2;2557,2
JPEG_90_ARITH_YCBCR;3,9;2414,9;2414,9
JPEG_85_NOOPT;3,8;2490,6;2490,6
JPEG_85_OPTIM;5,0;1892,5;1892,5
JPEG_85_ARITH;6,2;1517,5;1517,5
JPEG_85_NOOPT_YCBCR;3,0;3191,0;3191,0
JPEG_85_OPTIM_YCBCR;3,6;2593,1;2593,1
JPEG_85_ARITH_YCBCR;3,9;2448,9;2448,9
JPEG_80_NOOPT;4,1;2306,4;2306,4
JPEG_80_OPTIM;4,8;1973,6;1973,6
JPEG_80_ARITH;6,2;1521,4;1521,4
JPEG_80_NOOPT_YCBCR;3,2;2959,8;2959,8
JPEG_80_OPTIM_YCBCR;3,7;2573,7;2573,7
JPEG_80_ARITH_YCBCR;3,7;2543,2;2543,2
JPEG_75_NOOPT;3,8;2486,5;2486,5
JPEG_75_OPTIM;4,9;1935,0;1935,0
JPEG_75_ARITH;6,1;1548,9;1548,9
JPEG_75_NOOPT_YCBCR;3,1;3089,0;3089,0
JPEG_75_OPTIM_YCBCR;3,7;2572,6;2572,6
JPEG_75_ARITH_YCBCR;3,7;2522,4;2522,4
JPEG_50_NOOPT;3,6;2615,3;2615,3
JPEG_50_OPTIM;5,1;1859,3;1859,3
JPEG_50_ARITH;5,6;1685,6;1685,6
JPEG_50_NOOPT_YCBCR;3,7;2520,2;2520,2
JPEG_50_OPTIM_YCBCR;3,9;2442,5;2442,5
JPEG_50_ARITH_YCBCR;3,6;2611,1;2611,1
JPEG_25_NOOPT;4,1;2306,6;2306,6
JPEG_25_OPTIM;5,1;1869,3;1869,3
JPEG_25_ARITH;5,4;1763,0;1763,0
JPEG_25_NOOPT_YCBCR;3,2;2913,6;2913,6
JPEG_25_OPTIM_YCBCR;3,7;2582,1;2582,1
JPEG_25_ARITH_YCBCR;3,7;2535,0;2535,0
