PNGQ_FAST;13,7;690,5;690,5
PNGQ_BEST;15,1;624,1;624,1
PNG_FAST;11,2;844,0;844,0
PNG_BEST;18,1;523,5;523,5
JPEG_BEST_NOOPT;11,5;823,7;823,7
JPEG_BEST_OPTIM;12,7;745,3;745,3
JPEG_BEST_ARITH;14,1;669,5;669,5
JPEG_BEST_NOOPT_YCBCR;9,8;960,9;960,9
JPEG_BEST_OPTIM_YCBCR;14,3;660,7;660,7
JPEG_BEST_ARITH_YCBCR;11,8;798,5;798,5
JPEG_95_NOOPT;13,0;725,5;725,5
JPEG_95_OPTIM;11,9;793,4;793,4
JPEG_95_ARITH;12,4;762,5;762,5
JPEG_95_NOOPT_YCBCR;11,7;808,8;808,8
JPEG_95_OPTIM_YCBCR;11,8;798,8;798,8
JPEG_95_ARITH_YCBCR;12,8;736,8;736,8
JPEG_90_NOOPT;11,8;800,2;800,2
JPEG_90_OPTIM;12,2;771,7;771,7
JPEG_90_ARITH;12,1;783,9;783,9
JPEG_90_NOOPT_YCBCR;11,2;841,5;841,5
JPEG_90_OPTIM_YCBCR;12,6;751,4;751,4
JPEG_90_ARITH_YCBCR;14,3;660,5;660,5
JPEG_85_NOOPT;10,9;866,7;866,7
JPEG_85_OPTIM;12,9;731,0;731,0
JPEG_85_ARITH;12,1;780,4;780,4
JPEG_85_NOOPT_YCBCR;10,9;866,5;866,5
JPEG_85_OPTIM_YCBCR;11,3;836,6;836,6
JPEG_85_ARITH_YCBCR;11,8;800,9;800,9
JPEG_80_NOOPT;14,0;674,0;674,0
JPEG_80_OPTIM;11,9;794,2;794,2
JPEG_80_ARITH;13,1;723,4;723,4
JPEG_80_NOOPT_YCBCR;12,5;754,2;754,2
JPEG_80_OPTIM_YCBCR;13,7;690,5;690,5
JPEG_80_ARITH_YCBCR;10,9;868,5;868,5
JPEG_75_NOOPT;11,0;859,2;859,2
JPEG_75_OPTIM;12,4;763,1;763,1
JPEG_75_ARITH;12,8;739,4;739,4
JPEG_75_NOOPT_YCBCR;12,4;759,6;759,6
JPEG_75_OPTIM_YCBCR;12,5;753,5;753,5
JPEG_75_ARITH_YCBCR;12,3;765,7;765,7
JPEG_50_NOOPT;10,9;864,7;864,7
JPEG_50_OPTIM;11,0;860,6;860,6
JPEG_50_ARITH;11,4;828,2;828,2
JPEG_50_NOOPT_YCBCR;11,8;802,3;802,3
JPEG_50_OPTIM_YCBCR;13,5;702,2;702,2
JPEG_50_ARITH_YCBCR;11,8;800,7;800,7
JPEG_25_NOOPT;12,7;746,1;746,1
JPEG_25_OPTIM;12,0;789,6;789,6
JPEG_25_ARITH;11,2;842,8;842,8
JPEG_25_NOOPT_YCBCR;11,0;861,9;861,9
JPEG_25_OPTIM_YCBCR;13,5;701,9;701,9
JPEG_25_ARITH_YCBCR;11,7;809,7;809,7
