PNGQ_FAST;26,7;628,7;628,7
PNGQ_BEST;31,2;537,9;537,9
PNG_FAST;10,7;1575,2;1575,2
PNG_BEST;23,3;722,1;722,1
JPEG_BEST_NOOPT;9,3;1802,3;1802,3
JPEG_BEST_OPTIM;9,0;1870,6;1870,6
JPEG_BEST_ARITH;18,1;925,9;925,9
JPEG_BEST_NOOPT_YCBCR;8,3;2016,3;2016,3
JPEG_BEST_OPTIM_YCBCR;8,7;1932,7;1932,7
JPEG_BEST_ARITH_YCBCR;10,9;1541,6;1541,6
JPEG_95_NOOPT;9,7;1733,7;1733,7
JPEG_95_OPTIM;9,0;1873,2;1873,2
JPEG_95_ARITH;12,9;1303,1;1303,1
JPEG_95_NOOPT_YCBCR;7,1;2362,1;2362,1
JPEG_95_OPTIM_YCBCR;8,5;1973,9;1973,9
JPEG_95_ARITH_YCBCR;9,3;1801,3;1801,3
JPEG_90_NOOPT;9,5;1775,8;1775,8
JPEG_90_OPTIM;8,8;1910,1;1910,1
JPEG_90_ARITH;11,2;1494,3;1494,3
JPEG_90_NOOPT_YCBCR;8,6;1951,8;1951,8
JPEG_90_OPTIM_YCBCR;8,1;2079,4;2079,4
JPEG_90_ARITH_YCBCR;8,4;2007,4;2007,4
JPEG_85_NOOPT;10,3;1630,3;1630,3
JPEG_85_OPTIM;8,1;2064,7;2064,7
JPEG_85_ARITH;10,7;1566,3;1566,3
JPEG_85_NOOPT_YCBCR;8,4;1993,2;1993,2
JPEG_85_OPTIM_YCBCR;7,9;2122,7;2122,7
JPEG_85_ARITH_YCBCR;8,6;1942,5;1942,5
JPEG_80_NOOPT;8,1;2073,5;2073,5
JPEG_80_OPTIM;8,5;1975,1;1975,1
JPEG_80_ARITH;9,7;1723,4;1723,4
JPEG_80_NOOPT_YCBCR;8,4;1997,7;1997,7
JPEG_80_OPTIM_YCBCR;7,8;2148,5;2148,5
JPEG_80_ARITH_YCBCR;9,1;1849,4;1849,4
JPEG_75_NOOPT;8,2;2044,7;2044,7
JPEG_75_OPTIM;8,0;2101,7;2101,7
JPEG_75_ARITH;9,1;1849,8;1849,8
JPEG_75_NOOPT_YCBCR;9,3;1813,2;1813,2
JPEG_75_OPTIM_YCBCR;9,6;1748,0;1748,0
JPEG_75_ARITH_YCBCR;9,0;1860,0;1860,0
JPEG_50_NOOPT;8,9;1889,5;1889,5
JPEG_50_OPTIM;8,6;1961,3;1961,3
JPEG_50_ARITH;8,9;1882,5;1882,5
JPEG_50_NOOPT_YCBCR;8,6;1956,5;1956,5
JPEG_50_OPTIM_YCBCR;8,7;1920,9;1920,9
JPEG_50_ARITH_YCBCR;8,4;1997,2;1997,2
JPEG_25_NOOPT;9,3;1804,2;1804,2
JPEG_25_OPTIM;8,0;2087,4;2087,4
JPEG_25_ARITH;8,8;1919,4;1919,4
JPEG_25_NOOPT_YCBCR;8,9;1894,6;1894,6
JPEG_25_OPTIM_YCBCR;9,5;1762,6;1762,6
JPEG_25_ARITH_YCBCR;7,1;2353,7;2353,7
